Dipole,Dist-mm,Residual-Variance,
414,9.585101,0.004942,
415,6.999134,0.004035,
416,9.599582,0.003664,
417,13.63079,0.004743,
418,10.84862,0.00515,
419,5.893158,0.004829,
420,11.76017,0.008038,
421,13.5351,0.007906,
422,11.54734,0.012559,
423,8.500689,0.00408,
424,10.09993,0.004992,
425,7.209803,0.003855,
426,15.13894,0.00824,
427,15.50131,0.007129,
428,16.31967,0.003864,
429,5.971918,0.004562,
430,5.545608,0.003291,
431,13.35339,0.00381,
432,7.053292,0.002934,
433,5.990119,0.003747,
434,3.612294,0.005042,
435,9.90295,0.003863,
436,15.13151,0.004548,
437,13.7592,0.002986,
438,12.01688,0.004428,
439,14.51849,0.002989,
440,10.67603,0.003293,
441,13.01352,0.003236,
442,12.80471,0.002627,
443,15.24368,0.003662,
444,7.225777,0.003764,
445,15.39209,0.002617,
446,14.76378,0.002818,
447,8.854699,0.004657,
448,8.973325,0.002764,
449,6.873002,0.003777,
450,17.73372,0.002893,
451,14.49544,0.003211,
452,7.895575,0.004583,
453,10.50722,0.004037,
454,14.88431,0.003401,
455,11.51768,0.003975,
456,11.55691,0.004686,
457,12.86503,0.003415,
458,12.92274,0.003123,
459,7.672443,0.002456,
460,14.34095,0.003153,
461,4.597147,0.000958,
462,11.96303,0.004238,
463,9.907465,0.001777,
464,12.41635,0.004608,
465,10.8052,0.00313,
466,13.04359,0.004213,
467,7.88088,0.011392,
468,10.98975,0.003783,
469,9.041107,0.005487,
470,2.350047,0.008286,
471,2.538612,0.003425,
472,9.389423,0.000632,
473,15.60516,0.003252,
474,14.29543,0.0044,
475,15.40672,0.00213,
476,15.95257,0.001682,
477,13.80617,0.005862,
478,10.65581,0.011244,
479,5.375531,0.004939,
480,14.5007,0.003077,
481,1.562198,0.037667,
482,17.28751,0.003625,
483,14.04809,0.005744,
484,11.01885,0.005537,
485,12.61177,0.002483,
486,0.74034,0.00383,
487,7.301095,0.006087,
488,10.88748,0.002208,
489,13.8863,0.004928,
490,4.515733,0.002709,
491,8.677207,0.002047,
492,10.2581,0.003597,
493,9.319037,0.003936,
494,9.077691,0.006902,
495,12.40648,0.00399,
496,21.48824,0.007302,
497,13.70188,0.002295,
498,12.53087,0.003062,
499,9.55671,0.005272,
500,3.976461,0.004761,
501,5.45094,0.004263,
502,10.57305,0.004876,
503,9.263532,0.005078,
504,14.62873,0.00266,
505,17.71526,0.005719,
506,5.394261,0.003039,
507,13.6478,0.003191,
508,11.25725,0.003723,
509,14.29713,0.00501,
510,2.812984,0.005588,
511,9.690134,0.004002,
512,14.62008,0.003372,
513,9.983904,0.003922,
514,12.44287,0.014961,
515,8.752477,0.007217,
516,21.12579,0.006444,
517,9.596448,0.002913,
518,4.679715,0.003734,
519,4.914144,0.004789,
520,9.270036,0.005767,
521,7.050025,0.003256,
522,8.898799,0.00336,
523,15.30699,0.002393,
524,8.082372,0.004448,
525,13.90373,0.003928,
526,13.272,0.004179,
527,9.980955,0.004185,
528,5.933688,0.004991,
529,9.112274,0.001794,
530,15.78044,0.00212,
531,22.13775,0.006459,
532,1.999084,0.00174,
533,14.8537,0.003043,
534,4.536078,0.003995,
535,12.54771,0.00514,
536,17.20198,0.005631,
537,10.3754,0.004364,
538,9.697752,0.003804,
539,10.84214,0.002134,
540,5.495276,0.006056,
541,16.36047,0.003625,
542,12.28693,0.003151,
543,7.922605,0.004941,
544,18.86467,0.00781,
545,9.041625,0.00552,
546,6.633393,0.003118,
547,11.72584,0.001536,
548,11.12557,0.004095,
549,14.25605,0.003793,
550,7.454994,0.004103,
551,10.20798,0.003946,
552,21.06568,0.004489,
553,12.16402,0.004074,
554,1.302778,0.010048,
555,2.087705,0.012144,
556,3.95507,0.002989,
557,14.39372,0.006376,
558,7.640191,0.003457,
559,6.908093,0.007022,
560,4.815576,0.018183,
561,22.54649,0.008294,
562,15.14471,0.0034,
563,10.9866,0.004486,
564,9.040948,0.004486,
565,2.783495,0.012661,
566,15.63161,0.007434,
567,8.884226,0.003449,
568,11.28288,0.003722,
569,7.480828,0.00487,
570,7.505587,0.009117,
571,12.718,0.00741,
572,8.702241,0.004392,
573,6.479701,0.005424,
574,8.01855,0.005229,
575,10.03312,0.004877,
576,7.025238,0.004086,
577,11.89277,0.00223,
578,15.09798,0.021974,
579,11.85204,0.003633,
580,0.735135,0.00366,
581,5.384671,0.002193,
582,11.84119,0.003237,
583,10.95615,0.004508,
584,9.641956,0.001937,
585,12.43053,0.005747,
586,15.35475,0.002971,
587,5.819405,0.003063,
588,10.68285,0.003224,
589,3.875651,0.008265,
590,11.82462,0.001912,
591,9.834526,0.003109,
592,11.46916,0.003903,
593,10.60696,0.002386,
594,11.50844,0.003001,
595,13.65558,0.004516,
596,26.33926,0.017741,
597,6.436786,0.003281,
598,9.617592,0.005789,
599,12.27626,0.004199,
600,12.27076,0.003821,
601,10.53338,0.004398,
602,15.08052,0.00545,
603,7.78514,0.003108,
604,12.48442,0.004992,
605,5.861673,0.002968,
606,12.32958,0.00345,
607,15.23355,0.002361,
608,14.50926,0.004849,
609,5.528679,0.006628,
610,13.18332,0.001884,
611,12.13724,0.002942,
612,10.01033,0.003886,
613,4.878555,0.004862,
614,7.529447,0.003179,
615,10.84534,0.001841,
616,14.07919,0.004122,
617,4.477381,0.005593,
618,7.473207,0.003483,
619,16.53313,0.003776,
620,18.34325,0.003332,
621,7.427462,0.003462,
622,17.95412,0.004008,
623,12.97022,0.005627,
624,10.17953,0.005368,
625,17.89366,0.004261,
626,8.32785,0.002577,
627,8.12977,0.002622,
628,16.76484,0.003989,
629,10.56305,0.009443,
630,8.92719,0.003494,
631,6.011125,0.001297,
632,7.303454,0.005753,
633,12.42297,0.003605,
634,13.56066,0.00343,
635,11.57044,0.003525,
636,10.40898,0.003926,
637,7.030739,0.004142,
638,14.67718,0.006045,
639,14.70657,0.009564,
640,9.758558,0.003904,
641,3.727712,0.004528,
642,11.13175,0.001924,
643,20.49779,0.016233,
644,5.996685,0.003178,
645,11.46959,0.003137,
646,12.99588,0.003889,
647,11.32637,0.002754,
648,3.931034,0.004995,
649,9.883318,0.003441,
650,13.77524,0.005991,
651,8.597184,0.004623,
652,9.242689,0.003196,
653,0.962752,0.007435,
654,13.14059,0.004647,
655,10.97226,0.005396,
656,11.95173,0.003447,
657,4.985968,0.003086,
658,9.754437,0.003051,
659,9.031094,0.003158,
660,15.47099,0.004074,
661,14.25592,0.00141,
662,15.08043,0.009335,
663,10.15516,0.003463,
664,16.20471,0.005089,
665,8.002018,0.003264,
666,5.699191,0.004022,
667,9.616417,0.00139,
668,5.540806,0.003715,
669,15.85793,0.003787,
670,9.801852,0.004461,
671,12.71887,0.005292,
672,1.897067,0.017584,
673,4.82908,0.004596,
674,13.14341,0.002845,
675,3.128638,0.003509,
676,14.41659,0.008282,
677,6.203889,0.008716,
678,14.43984,0.00447,
679,12.08128,0.004161,
680,9.518633,0.004302,
681,10.19347,0.001219,
682,11.29113,0.005674,
683,8.181769,0.001847,
684,3.380811,0.006736,
685,10.98142,0.00394,
686,3.311761,0.026278,
687,11.68331,0.002657,
688,13.54364,0.005255,
689,9.187136,0.004106,
690,11.06059,0.006204,
691,15.23199,0.006535,
692,15.44193,0.007698,
693,13.67138,0.004218,
694,10.82252,0.010781,
695,14.45519,0.003013,
696,2.057944,0.004481,
697,13.53228,0.004299,
698,10.78508,0.002693,
699,8.072159,0.004584,
700,8.568463,0.003436,
701,7.898824,0.002586,
702,6.378872,0.003779,
703,7.707249,0.003873,
704,10.13845,0.007614,
705,3.561906,0.002844,
706,18.16989,0.003688,
707,8.708098,0.003008,
708,10.94279,0.001627,
709,11.82447,0.002725,
710,11.10676,0.006211,
711,7.055268,0.00194,
712,16.59985,0.00275,
713,13.913,0.007562,
714,6.824821,0.003681,
715,11.42639,0.004818,
716,14.4812,0.004288,
717,12.81217,0.006863,
718,16.33637,0.004464,
719,12.8169,0.003267,
720,5.325449,0.004093,
721,18.71188,0.003993,
722,7.120904,0.003384,
723,10.04238,0.001379,
724,15.48721,0.00387,
725,3.847049,0.009327,
726,16.29619,0.005338,
727,12.95036,0.002846,
728,12.27815,0.002182,
729,6.597545,0.004247,
730,19.24473,0.003453,
731,18.79732,0.004434,
732,8.02251,0.003608,
733,17.2267,0.002843,
734,8.041611,0.002111,
735,17.0782,0.005234,
736,9.707707,0.007626,
737,4.559245,0.002994,
738,15.35362,0.003298,
739,10.64015,0.005047,
740,16.06735,0.001988,
741,2.702632,0.047969,
742,11.02734,0.004834,
743,12.07084,0.006132,
744,9.909262,0.003199,
745,5.024751,0.002873,
746,11.83667,0.003568,
747,15.51524,0.005691,
748,6.367305,0.003754,
749,117.1921,0.008126,
750,4.766873,0.003985,
751,11.96249,0.004588,
752,18.36678,0.002447,
753,7.847827,0.002928,
754,15.71392,0.008041,
755,2.469607,0.004232,
756,9.544987,0.002935,
757,13.53621,0.00481,
758,6.810885,0.004884,
759,8.729484,0.003029,
760,12.40833,0.002237,
761,15.80359,0.003289,
762,15.79407,0.005163,
763,9.445296,0.003446,
764,1.897021,0.002699,
765,5.217441,0.005463,
766,8.626342,0.003461,
767,8.546858,0.003602,
768,13.64302,0.011593,
769,10.21746,0.002787,
770,12.57719,0.004042,
771,10.4862,0.004841,
772,8.806589,0.001867,
773,6.906167,0.003684,
774,11.15558,0.006673,
775,14.24531,0.005978,
