,Patient,Model,Dipole,Dist_mm,Angle_deg,Residual_Variance,Is_Grid,Grid_eq_Source,Total_AMR_steps
58,120111,swiss7,dip2,3.33188753112439,7.3793824211748,0.0003106763897851,0,1,5
59,120111,SimNIBS7_headreco,dip4,7.05444749908768,8.7277620842814,0.0014776792347079,1,1,6
60,120111,german7,dip3,2.26806953212572,7.45255064246652,0.0014352646632567,0,1,4
61,120111,swiss7_headreco,dip4,4.05029728097972,69.8423773703837,0.0011241348080483,1,1,3
62,120111,german7_headreco,dip2,3.94887192094923,2.07786475018603,0.0015604177291016,1,1,7
63,120111,SimNIBS7,dip3,2.14597985336877,10.7963635976835,0.0013122682892685,0,1,5
64,120111,SimNIBS7,dip4,3.75711427956918,32.3422596200832,0.0042258895951294,1,1,6
65,120111,swiss7_headreco,dip2,2.19779936772568,6.4983102028041,0.0007740025541792,1,1,3
66,120111,swiss7_headreco,dip1,3.45138188215085,10.9163908176457,0.0003946799020837,1,1,2
67,120111,SimNIBS7,dip2,4.9756243501269,13.5232597665765,0.0002663245999148,1,1,6
68,120111,german7,dip1,3.89240199758758,10.1855844656133,0.0003356959752102,0,1,7
69,120111,german7_headreco,dip4,6.89531776592971,8.50657501901072,0.0014064530716274,1,1,7
70,120111,SimNIBS7,dip1,3.82617500205702,10.0123357847714,0.0003151164070757,1,1,7
71,120111,german7_headreco,dip1,2.86540703163473,13.5328465097593,0.0007115306795885,1,1,4
72,151627,swiss7_headreco,dip1,3.00496743204801,4.32231276335853,0.0002658284567117,1,1,7
73,151627,SimNIBS7_headreco,dip4,5.36290703800235,11.5966916086399,0.001153003585969,0,1,3
74,151627,german7_headreco,dip1,1.83768959695163,2.39799554633109,0.0009299546174286,1,1,7
75,151627,german7,dip3,1.73205589595721,30.0868404641138,0.0006935674163888,1,1,8
76,151627,swiss7_headreco,dip2,3.34624794529746,5.89668772709656,0.0002295120701569,0,1,2
77,151627,SimNIBS7,dip2,4.70297196779748,9.87378609992628,0.0004382212867808,1,1,4
78,151627,SimNIBS7_headreco,dip3,1.47405701286347,31.7963903482595,0.0010953147563068,0,1,6
79,151627,swiss7_headreco,dip4,1.39895398854845,6.52252441456177,0.0003748803758393,0,1,2
80,151627,german7_headreco,dip2,4.61104937731746,14.4595529352779,0.0003210145382759,1,1,6
81,151627,german7_headreco,dip4,5.68516648077955,11.066350773692,0.0011017818663252,0,1,3
82,151627,SimNIBS7,dip3,2.71549860953175,26.376964716678,0.0006158021432747,0,1,9
83,151627,german7,dip2,4.80477645873866,14.49793411234,0.0004546111995456,1,1,4
84,151627,swiss7,dip2,3.91862062261969,9.43663599992287,0.0003132954876334,1,1,2
85,151627,german7,dip1,3.97810202420396,3.62103199944206,0.0005288149740759,1,1,10
86,151627,german7,dip4,4.94729967158276,3.9973257695575,0.0004423736707965,0,1,6
87,151627,SimNIBS7_headreco,dip1,1.71725526579937,1.83012560918483,0.0009880898625533,0,1,8
88,151627,german7_headreco,dip3,1.27025772133717,32.3615519584037,0.0010731003248576,1,1,6
89,151627,swiss7,dip4,1.08090157747474,10.9542583721229,0.0003222170449158,0,1,7
90,151627,SimNIBS7,dip1,3.79708737067774,3.29924285519874,0.0006597254857197,1,1,10
91,151627,swiss7,dip3,1.07784881361697,14.6396025070761,0.0011590222772385,1,1,3
92,151627,SimNIBS7_headreco,dip2,4.62122733921725,13.9829361888566,0.0003411332828997,0,1,6
93,151627,SimNIBS7,dip4,7.55830305731322,22.4641616239289,0.0005516311099807,0,1,7
94,151627,swiss7,dip1,3.39228803153495,3.19395447757651,0.000373771709042,1,1,6
95,151627,swiss7_headreco,dip3,1.49685419080574,14.1269386039915,0.0005543575957672,0,1,6
96,149337,german7,dip1,3.58210605707361,13.7046170391159,0.0003527130820243,1,1,8
97,149337,german7_headreco,dip1,2.08167425786488,14.8916171485506,0.0007774017282064,0,1,4
98,149337,SimNIBS7_headreco,dip2,6.59442784037477,26.5625030163595,0.0013740504879427,0,1,3
99,149337,swiss7,dip2,4.49443402231928,3.81762125419982,0.0004615899354101,0,1,3
100,149337,SimNIBS7_headreco,dip1,2.02089717161234,14.2102592605818,0.0008275559132327,1,1,4
101,149337,SimNIBS7_headreco,dip3,1.03123142212875,20.6195173660291,0.0012988999347114,0,1,3
